type,brand,price,rating
milk,Godiva,3.50,72
milk,Dove ,2.70,72
milk,Trader Joe's 3-pack (mini bars) ,1.80,72
milk,365 Everyday Value Organic (Whole Foods) ,2.30,71
milk,Lindt Classic Recipe ,2.50,70
milk,Ritter Sport ,2.25,67
milk,Hershey's Symphony ,1.80,66
milk,Ghirardelli Gourmet Milk ,2.50,61
milk,Divine ,3.30,58
milk,Cadbury Dairy Milk ,2.00,55
milk,Hershey's ,1.75,49
milk,Perugina ,2.25,47
dark,Trader Joe's 72% Cacao 3-pack (mini bars) ,1.80,92
dark,Godiva 72% Cacao chocolate,3.50,85
dark,Chocolove Organic Fair Trade 73% Cocoa ,3.25,82
dark,Ghirardelli Intense Dark 72% Cacao ,3.00,79
dark,Valrhona Le Noir Amer 71% Cacao ,3.00,76
dark,Endangered Species 72% Cocoa ,2.50,76
dark,Lindt Excellence 70% Cocoa ,2.75,75
dark,Green & Black's Organic 70% Cacao ,3.00,72
dark,Scharffen Berger Bittersweet 70% Cacao ,4.20,71
